iter	Logloss
0	0.6863295786
1	0.680719794
2	0.6745673641
3	0.671150799
4	0.668526453
5	0.6639236285
6	0.6613485591
7	0.6582623769
8	0.6551649129
9	0.6530718663
10	0.6507457042
11	0.6487460582
12	0.6464740191
13	0.6451772036
14	0.6434089726
15	0.6417760755
16	0.6391383583
17	0.6372973684
18	0.635498894
19	0.6343389199
20	0.6316055977
21	0.6309686915
22	0.6288626411
23	0.6276686085
24	0.6262264487
25	0.6248659321
26	0.6232556132
27	0.6225354679
28	0.6215714768
29	0.6200104784
30	0.6183743762
31	0.6170728908
32	0.61548916
33	0.6143697764
34	0.613161437
35	0.6123844255
36	0.6112702651
37	0.6102161792
38	0.6091294735
39	0.6085446101
40	0.607614913
41	0.6069278135
42	0.6058849155
43	0.60549853
44	0.6046415024
45	0.6040157463
46	0.6034229777
47	0.602725597
48	0.60236649
49	0.601790143
50	0.6010349073
51	0.6004276841
52	0.5996766419
53	0.5990277557
54	0.5985754187
55	0.5980322697
56	0.5972825536
57	0.5964994023
58	0.5958200933
59	0.5954062813
60	0.5949083243
61	0.5941165218
62	0.593334232
63	0.5928314769
64	0.5921070252
65	0.5916554517
66	0.5908737197
67	0.5903033816
68	0.5897401499
69	0.5892950201
70	0.5888821803
71	0.5883952236
72	0.587605427
73	0.5873176033
74	0.5870724017
75	0.5865639659
76	0.586265945
77	0.5858603047
78	0.5854328306
79	0.5848528981
80	0.5845190851
81	0.5839461161
82	0.5835438492
83	0.583297912
84	0.5828652707
85	0.5823760696
86	0.5817080659
87	0.5811134518
88	0.5805994897
89	0.5801808497
90	0.5798818199
91	0.5794643536
92	0.5791249005
93	0.5787112842
94	0.5784278473
95	0.5779108311
96	0.5775385583
97	0.5772456852
98	0.5768731907
99	0.5765303972
100	0.5762036976
101	0.5758751325
102	0.5754874224
103	0.5751364303
104	0.5747868691
105	0.5744931615
106	0.5740729404
107	0.5735865309
108	0.5733527979
109	0.5731763001
110	0.5728401455
111	0.5725392325
112	0.5723236244
113	0.5719243712
114	0.571574489
115	0.5712231302
116	0.5709248375
117	0.5706906149
118	0.5703921292
119	0.570142482
120	0.5699498541
121	0.5694596442
122	0.5691686543
123	0.5689955671
124	0.5686702935
125	0.5684829971
126	0.5681841603
127	0.5679108866
128	0.5676841617
129	0.567418629
130	0.5671400579
131	0.5667856574
132	0.5664771732
133	0.5662258116
134	0.5659583669
135	0.5656616392
136	0.5652988648
137	0.5649697093
138	0.564731015
139	0.5644965987
140	0.5641247892
141	0.5637480569
142	0.563509683
143	0.5633197398
144	0.5631020412
145	0.5629668461
146	0.5627331529
147	0.562500371
148	0.5622673007
149	0.5621039264
