iter	Logloss
0	0.6872141686
1	0.6830716414
2	0.680236991
3	0.6762955245
4	0.6723797979
5	0.6696761818
6	0.6679364504
7	0.6650471975
8	0.6630843147
9	0.661879763
10	0.6597329051
11	0.6589567534
12	0.6575258214
13	0.6562838036
14	0.6542421967
15	0.6532170127
16	0.652023146
17	0.6514515337
18	0.6507632086
19	0.6499509277
20	0.6492265209
21	0.6482858609
22	0.6479357906
23	0.6476369268
24	0.647007653
25	0.646407395
26	0.6457529433
27	0.6449468443
28	0.644773163
29	0.6438342378
30	0.6432874531
31	0.6430368472
32	0.6426571654
33	0.6423956456
34	0.6418203499
35	0.641367246
36	0.6409536378
37	0.6406038809
38	0.6402796201
39	0.6399587324
40	0.6397032272
41	0.6394640722
42	0.6392905795
43	0.6390876854
44	0.638838658
45	0.6384839057
46	0.6382305531
47	0.6379988946
48	0.6377339312
49	0.6375340536
50	0.6372885322
51	0.6368833322
52	0.6365655999
53	0.6363140006
54	0.6359663514
55	0.6355552784
56	0.6351018723
57	0.6347498036
58	0.6344366582
59	0.6341570338
60	0.6338463715
61	0.6336581016
62	0.6332102909
63	0.6330358758
64	0.6327584214
65	0.6324462676
66	0.6321966243
67	0.6319240004
68	0.6316589922
69	0.6313755085
70	0.6310836582
71	0.6307620226
72	0.6304222332
73	0.630177066
74	0.6298268756
75	0.6295024933
76	0.6292282082
77	0.6289576243
78	0.6286963207
79	0.6284563598
80	0.62825145
81	0.6279990898
82	0.6278632579
83	0.6277088996
84	0.6274862664
85	0.6273557064
86	0.6271113117
87	0.6268491874
88	0.6265541885
89	0.6262649206
90	0.6261164199
91	0.6258747794
92	0.625602779
93	0.6253544448
94	0.6250697756
95	0.6246830471
96	0.624465423
97	0.6242345382
98	0.623981059
99	0.6237081733
100	0.6234900555
101	0.623240482
102	0.6230829088
103	0.6228836836
104	0.6226698796
105	0.6225279818
106	0.622226125
107	0.6220060982
108	0.6217409132
109	0.6215144644
110	0.6212374822
111	0.6210158242
112	0.6207828008
113	0.6205431913
114	0.620380044
115	0.6201706782
116	0.6199985285
117	0.6197352578
118	0.619502445
119	0.6193247437
120	0.6189793922
121	0.6187959073
122	0.6186273272
123	0.6184365857
124	0.6181962852
125	0.6178789967
126	0.6176173129
127	0.6173448632
128	0.6171533385
129	0.6169570113
130	0.6167832111
131	0.6166028543
132	0.6164245709
133	0.6162658068
134	0.6160836121
135	0.6159029752
136	0.6156901785
137	0.6154235211
138	0.6152030245
139	0.6150593227
140	0.614844447
141	0.6147056859
142	0.6144817332
143	0.6143109469
144	0.6140866135
145	0.613911636
146	0.6136711772
147	0.6134528732
148	0.6132486273
149	0.6130565052
