iter	Logloss
0	0.6856928887
1	0.6802127447
2	0.6740317593
3	0.669264603
4	0.6637939443
5	0.6596584927
6	0.6561160558
7	0.6528911196
8	0.6512268248
9	0.649260945
10	0.6473751915
11	0.6458134241
12	0.6440005736
13	0.6417111115
14	0.640453526
15	0.6389129524
16	0.637608769
17	0.6367641554
18	0.6348107612
19	0.6339863173
20	0.6329730331
21	0.6320114024
22	0.6307706081
23	0.6299832126
24	0.6294570406
25	0.6287381543
26	0.6279494442
27	0.6270788041
28	0.6264627699
29	0.6254116214
30	0.6246546411
31	0.6238438093
32	0.6233969565
33	0.6231100073
34	0.6226097949
35	0.6219753391
36	0.6214848392
37	0.6209814788
38	0.620637695
39	0.6202360505
40	0.6200576843
41	0.619800935
42	0.6195271778
43	0.6192630034
44	0.6189667972
45	0.6185795777
46	0.6182564731
47	0.6179637658
48	0.6172861439
49	0.6169301665
50	0.6164909056
51	0.616008875
52	0.6156500748
53	0.615341699
54	0.6148402328
55	0.6144571793
56	0.6140380397
57	0.6136901684
58	0.6133600872
59	0.6130755736
60	0.6128931197
61	0.6125017694
62	0.6120807586
63	0.6117669871
64	0.6114000811
65	0.611180124
66	0.6107412387
67	0.6104117627
68	0.6100738672
69	0.6096710842
70	0.6093913013
71	0.6091231539
72	0.6088594141
73	0.6084013528
74	0.6080627898
75	0.6077458212
76	0.6074332177
77	0.6071991591
78	0.6068199989
79	0.6065351981
80	0.6062892582
81	0.60599076
82	0.6057737991
83	0.6054361647
84	0.6050853644
85	0.6048480014
86	0.6046642413
87	0.604400847
88	0.6040935948
89	0.603846317
90	0.6036020608
91	0.6032871993
92	0.6029396395
93	0.6026872205
94	0.6023995342
95	0.6020774939
96	0.6018762818
97	0.60157576
98	0.60132274
99	0.6010593593
100	0.6008499027
101	0.6005894144
102	0.6002670852
103	0.600075223
104	0.5998572293
105	0.5996558682
106	0.5993607487
107	0.5991586015
108	0.5989924349
109	0.5986819248
110	0.5984834073
111	0.5981988795
112	0.5980086672
113	0.5977886787
114	0.5976263298
115	0.5974730854
116	0.5971479765
117	0.596910403
118	0.5966670891
119	0.5964747264
120	0.5962593953
121	0.5960515252
122	0.5959246901
123	0.5957228916
124	0.595625955
125	0.5953965601
126	0.5952568348
127	0.5950143769
128	0.5948217401
129	0.5946079515
130	0.5943982841
131	0.5941938823
132	0.593971669
133	0.593706636
134	0.593520854
135	0.5933256856
136	0.5930895531
137	0.592914465
138	0.5926911977
139	0.5925185022
140	0.5922857915
141	0.5920899754
142	0.5919150424
143	0.591778837
144	0.5915924493
145	0.5913881856
146	0.5911851654
147	0.5909484588
148	0.5907342971
149	0.5905069852
