iter	Logloss
0	0.6893121658
1	0.6865814128
2	0.6839902604
3	0.6812423809
4	0.6791293813
5	0.676974226
6	0.6743576104
7	0.6725922606
8	0.6711837926
9	0.6683779014
10	0.6663029875
11	0.6646931688
12	0.6627984312
13	0.6605681608
14	0.6587980783
15	0.6572180358
16	0.6556315561
17	0.6537795138
18	0.6521081759
19	0.6503386599
20	0.6495831349
21	0.6478302923
22	0.6469134919
23	0.6447867567
24	0.6438275594
25	0.6423169716
26	0.6410561062
27	0.6394120374
28	0.6376056409
29	0.6365218163
30	0.635780877
31	0.6348346048
32	0.6338702414
33	0.632939205
34	0.631602169
35	0.629922801
36	0.6290420781
37	0.6282764771
38	0.6276618311
39	0.6266072579
40	0.6258946852
41	0.6250988604
42	0.6244558643
43	0.6232920604
44	0.6225283466
45	0.6219502169
46	0.6207882927
47	0.6200771699
48	0.6194137262
49	0.6185228827
50	0.6175185554
51	0.6166674269
52	0.6160077354
53	0.6153514145
54	0.6144264596
55	0.6133386354
56	0.6127223192
57	0.6116539331
58	0.6107918391
59	0.6097340732
60	0.6090804665
61	0.6083998747
62	0.6074585606
63	0.6065001652
64	0.605649616
65	0.6051661391
66	0.6044413217
67	0.6038698067
68	0.603126486
69	0.6024401644
70	0.6016580542
71	0.6011073598
72	0.6007192468
73	0.6003747696
74	0.5994629944
75	0.5988397512
76	0.5982500473
77	0.5977761738
78	0.5971052792
79	0.5965856721
80	0.5959875668
81	0.5955240481
82	0.5951119993
83	0.5941777497
84	0.5935422927
85	0.5926995704
86	0.5918737549
87	0.5913206451
88	0.5905542833
89	0.5897161502
90	0.5892117643
91	0.5886757183
92	0.5880397417
93	0.587479052
94	0.5865329225
95	0.5860995035
96	0.5855084975
97	0.585126401
98	0.5847670628
99	0.5841983344
100	0.5838015472
101	0.5830289906
102	0.5823773215
103	0.581833537
104	0.5812518102
105	0.5808829405
106	0.5805352508
107	0.5801607374
108	0.5796809341
109	0.5794170517
110	0.5790350906
111	0.5782452813
112	0.5779395888
113	0.5772920453
114	0.5768986796
115	0.5765086696
116	0.5761140759
117	0.5756593627
118	0.5752538268
119	0.5748927908
120	0.5741002497
121	0.5736550071
122	0.5733254952
123	0.5727018829
124	0.5722511946
125	0.571862937
126	0.5714313489
127	0.5711309911
128	0.5707815589
129	0.5704244609
130	0.5700750815
131	0.5696279499
132	0.5692386198
133	0.5689114746
134	0.5685334598
135	0.5682218218
136	0.5676591588
137	0.5673142636
138	0.5668614152
139	0.5666029268
140	0.5662424112
141	0.5659577573
142	0.5654023735
143	0.5651438154
144	0.5646778869
145	0.5643728041
146	0.5639682967
147	0.563680211
148	0.5634293476
149	0.5631907036
